,Timestamp,Latitude,Longitude,Speed,Driver,Weight,Placement,Ax,Ay,Az,Gx,Gy,Gz,Confidence,Jerk_x,Jerk_y,Jerk_z
0,0.0,45.4785663,9.2328843,0.031484,Stefano_Jessica,87,Stem,-0.1516010649113537,-0.1609793661206683,-9.885733641317504,0.8990010948115286,-0.3075005456722044,-1.3932497234576298,0,,,
173,1.6634615384615383,45.478583,9.2328912,0.292616,Stefano_Jessica,87,Stem,-0.1335277217534927,-0.2946635532321818,-9.905162306667169,0.1485286501817162,-0.3424556716806353,-1.5239378375474908,0,0.0221711110806472,-0.0176778492654383,0.0017663028822454
269,2.5865384615384617,45.4785795,9.2328878,0.116676,Stefano_Jessica,87,Stem,-0.0977111933848598,-0.3105975540729073,-9.90947598566846,-0.4521297966223106,-0.5036798332418737,-1.4894920200579476,0,0.0093678065341178,-0.0068691050620124,0.0018234977747315
462,4.4423076923076925,45.4785773,9.2328885,0.057412,Stefano_Jessica,87,Stem,-0.1520762161324169,-0.1760290875993345,-9.911064111103704,-0.179102908042279,-0.3829680793046126,-1.8883639578291307,0,-0.0062214049328513,0.0148067278050172,-0.0042762711947279
758,7.288461538461537,45.4785787,9.2328892,0.007408,Stefano_Jessica,87,Stem,-0.0927178229919315,-0.2275781220387913,-9.921783788382296,0.2478792659209734,-0.3584351632823646,-0.91535412851432,0,0.0141716902763143,-0.0178473991811458,0.0025852481235002
1051,10.10576923076923,45.47857379999999,9.2328868,0.474112,Stefano_Jessica,87,Stem,-0.2090884736273894,-0.0888055018908651,-9.967475940091427,-1.6722587328735008,-0.6142894940175281,-4.380898446402205,0,0.0633840550926807,-0.0269469258665258,-0.0072208697574307
1241,11.932692307692308,45.4785763,9.232890199999998,0.279652,Stefano_Jessica,87,Stem,-0.151489165078603,0.03763527590269,-9.906441836095382,0.5741415012138509,-0.3016994440802296,-1.5205068757098497,0,0.0257143745839986,-0.0323611157057596,-0.0099650295772626
1629,15.663461538461537,45.47857,9.2328948,0.137048,Stefano_Jessica,87,Stem,-0.115760451408408,-0.1672077157234043,-9.892368157607947,-0.2753643630697331,-0.3827839879838999,-1.5128610930432391,0,-0.0031996194200752,0.0046528820981001,0.0035356035304161
1727,16.60576923076923,45.47857070000001,9.2328968,0.164828,Stefano_Jessica,87,Stem,-0.1596502057009585,-0.0528345290552239,-9.93257823415214,-0.1442921219651465,-0.3871244406228706,-1.232939766213355,0,-0.0012824527116016,0.0022111020328008,-0.016334149190424
2407,23.14423076923077,45.4785807,9.232907199999998,0.137048,Stefano_Jessica,87,Stem,0.5837575250957644,0.1286201451885121,-9.9266470092765,2.9565904003054704,-0.5476382823171653,0.5741084843873052,0,0.0582197886613247,0.0039742576885141,0.0774505252717414
